leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
4020970,MUSKOGEE,Muskogee,0,MUSKOGEE,MUSKOGEE,74401,Oklahoma,OK,6436,0.75,0.66,0.34,0.36
4700510,CARTER COUNTY SCHOOL DISTRICT,Carter County,0,ELIZABETHTON,CARTER,37673,Tennessee,TN,5916,0.66,0.03,0.34,0.44
5304590,LYLE SCHOOL DISTRICT,Lyle,0,LYLE,KLICKITAT,98635,Washington,WA,335,0.67,0.18,0.34,0.37
613740,FIELDBROOK ELEMENTARY,Fieldbrook,0,ARCATA,HUMBOLDT,95521,California,CA,113,0.39,0.28,0.34,0.5
4012210,FRIEND,Friend,0,CHICKASHA,GRADY,73018,Oklahoma,OK,208,0.46,0.21,0.34,0.45
4008940,COYLE,Coyle,0,COYLE,LOGAN,73027,Oklahoma,OK,386,0.78,0.7,0.34,0.4
1301080,CHATTOOGA COUNTY,Chattooga County,0,SUMMERVILLE,CHATTOOGA,30747,Georgia,GA,2906,0.71,0.18,0.34,0.44
2913530,HALFWAY R-III,Halfway,0,HALFWAY,POLK,65663,Missouri,MO,298,0.58,0.02,0.34,0.41
403080,FREDONIA-MOCCASIN UNIFIED DISTRICT,Fredonia-Moccasin,0,FREDONIA,COCONINO,86022,Arizona,AZ,310,0.5,0.29,0.34,0.38
1303750,MONTGOMERY COUNTY,Montgomery County,0,MOUNT VERNON,MONTGOMERY,30445,Georgia,GA,1098,0.73,0.45,0.34,0.38
4026550,RUSH SPRINGS,Rush Springs,0,RUSH SPRINGS,GRADY,73082,Oklahoma,OK,618,0.56,0.08,0.34,0.38
1601980,MARSING JOINT DISTRICT,Marsing,0,MARSING,OWYHEE,83639,Idaho,ID,865,0.63,0.38,0.34,0.35
642210,WESTSIDE ELEMENTARY,Westside Elementary,0,FIVE POINTS,FRESNO,93624,California,CA,254,0.95,0.99,0.34,0.18
3904375,CINCINNATI CITY,Cincinnati,0,CINCINNATI,HAMILTON,45201,Ohio,OH,35346,0.57,0.76,0.34,0.33
403060,FOWLER ELEMENTARY DISTRICT,Fowler Elementary,0,PHOENIX,MARICOPA,85043,Arizona,AZ,4507,0.81,0.91,0.34,0.27
4027630,SHIDLER,Shidler,0,SHIDLER,OSAGE,74652,Oklahoma,OK,218,0.69,0.52,0.34,0.56
633690,ROUND VALLEY JOINT ELEMENTARY,Round Valley Joint,0,BISHOP,INYO,93514,California,CA,117,0.29,0.22,0.34,0.48
3614310,HEUVELTON CENTRAL SCHOOL DISTRICT,Heuvelton,0,HEUVELTON,ST. LAWRENCE,13654,New York,NY,580,0.3,0.02,0.34,0.6
619260,JURUPA UNIFIED,Jurupa Unified,0,RIVERSIDE,RIVERSIDE,92509,California,CA,20385,0.68,0.83,0.34,0.29
2913140,GRANDVIEW C-4,Grandview C-4,0,GRANDVIEW,JACKSON,64030,Missouri,MO,4046,0.63,0.71,0.34,0.42
2610980,COVERT PUBLIC SCHOOLS,Covert,0,COVERT,VAN BUREN,49043,Michigan,MI,730,0.83,0.88,0.33,0.34
4028800,STONEWALL,Stonewall,0,STONEWALL,PONTOTOC,74871,Oklahoma,OK,400,0.84,0.45,0.33,0.42
610050,COVINA-VALLEY UNIFIED,Covina-Valley,0,COVINA,LOS ANGELES,91723,California,CA,14391,0.48,0.85,0.33,0.38
5303130,GRAND COULEE DAM SCHOOL DISTRICT,Grand Coulee Dam,0,COULEE DAM,GRANT,99116,Washington,WA,698,0.56,0.6,0.33,0.42
3500390,CENTRAL CONSOLIDATED SCHOOLS,Central Consolidated,0,SHIPROCK,SAN JUAN,87420,New Mexico,NM,6766,0.99,0.92,0.33,0.3
624600,MERCED CITY ELEMENTARY,Merced City,0,MERCED,MERCED,95340,California,CA,10876,0.75,0.79,0.33,0.33
3904380,COLUMBUS CITY,Columbus,0,COLUMBUS,FRANKLIN,43215,Ohio,OH,53536,0.7,0.72,0.33,0.33
1800033,SE NEIGHBORHOOD SCH OF EXCELLENCE,SE Neighborhood,1,INDIANAPOLIS,MARION,46203,Indiana,IN,255,0.84,0.3,0.33,0.3
642560,WILLITS UNIFIED,Willits Unified,0,WILLITS,MENDOCINO,95490,California,CA,2013,0.56,0.34,0.33,0.35
4501770,CLARENDON 02,Clarendon 02,0,MANNING,CLARENDON,29102,South Carolina,SC,3163,0.7,0.71,0.33,0.31
4701230,FENTRESS COUNTY SCHOOL DISTRICT,Fentress County,0,JAMESTOWN,FENTRESS,38556,Tennessee,TN,2477,0.7,0.01,0.33,0.47
